mqc_id	SNPClass	Sample	TgtRegionSize	TN	FN	TP	FP	Fscore	Sensitivity-Recall	Specificity	FDR	PPV	Precision	AltId	CmpFootprint	AllVarMeanDP	CovBin	Aligner	SNVCaller	ILMN_cov	ONT_cov	UG_cov	Fbeta_1	Fbeta_recall_1.5	Fbeta_recall_2.00	Fbeta_recall_4.00	Fbeta_precision_1.5	Fbeta_precision_2.0	Fbeta_precision_4.0	Youdens_J_Index	MCC
Ods30xUds10x_HG006_sup-PAY77227_0-ont-sentdhuo-All	All	Ods30xUds10x_HG006_sup-PAY77227_0	377862616	377419631	12783	430202	88589	0.8945991582	0.9711434924	0.9997653323	0.1707604797	0.8292395203	0.8292395203	HG006	clinvar_genes	-1	-2	ont	sentdhuo	0	30	10	0.8945991582	0.9086558965	0.939005933	0.9530403453	0.8809970004	0.8542028291	0.8426771323	0.9709088247	0.8972642225
Ods10xUds20x_HG006_sup-PAY77227_0-ont-sentdhuo-All	All	Ods10xUds20x_HG006_sup-PAY77227_0	377862616	377419625	17041	425950	84326	0.8936635801	0.9615319499	0.9997766222	0.1652556656	0.8347443344	0.8347443344	HG006	clinvar_genes	-1	-2	ont	sentdhuo	0	10	20	0.8936635801	0.9062178591	0.9331840648	0.94558953	0.8814759878	0.8573544893	0.84693174	0.9613085721	0.8957697705
Ods5xUds40x_HG006_sup-PAY77227_0-ont-sentdhuo-All	All	Ods5xUds40x_HG006_sup-PAY77227_0	377862616	377419614	25861	417141	74210	0.8928980803	0.9416232884	0.999803414	0.1510325612	0.8489674388	0.8489674388	HG006	clinvar_genes	-1	-2	ont	sentdhuo	0	5	40	0.8928980803	0.9020595933	0.9215086957	0.930352416	0.8839382012	0.8660105481	0.8581830753	0.9414267024	0.8939665059
Ods20xUds10x_HG006_sup-PAY77227_0-ont-sentdhuo-All	All	Ods20xUds10x_HG006_sup-PAY77227_0	377862616	377419624	14522	428470	88309	0.8928588174	0.9672183696	0.9997660738	0.1708834918	0.8291165082	0.8291165082	HG006	clinvar_genes	-1	-2	ont	sentdhuo	0	20	10	0.8928588174	0.906537794	0.9360361805	0.9496601523	0.8796121334	0.8534891726	0.8422403436	0.9669844434	0.8953801204
Ods15xUds10x_HG006_sup-PAY77227_0-ont-sentdhuo-All	All	Ods15xUds10x_HG006_sup-PAY77227_0	377862616	377419624	16634	426358	87235	0.8914168631	0.9624507892	0.9997689181	0.1698523928	0.8301476072	0.8301476072	HG006	clinvar_genes	-1	-2	ont	sentdhuo	0	15	10	0.8914168631	0.9045195605	0.9327206756	0.9457204032	0.8787129347	0.8536160528	0.8427909336	0.9622197073	0.8937236606
Ods10xUds15x_HG006_sup-PAY77227_0-ont-sentdhuo-All	All	Ods10xUds15x_HG006_sup-PAY77227_0	377862616	377419620	19212	423784	84078	0.8913717926	0.9566316626	0.999777279	0.165552847	0.834447153	0.834447153	HG006	clinvar_genes	-1	-2	ont	sentdhuo	0	10	15	0.8913717926	0.9034685778	0.9294136534	0.9413317741	0.8796174319	0.8563216626	0.8462426445	0.9564089416	0.8933219108
Ods30xIds9x_HG006_sup-PAY77227_0-ont-sentdhio-All	All	Ods30xIds9x_HG006_sup-PAY77227_0	377862616	377419621	1515	441480	107041	0.8905151304	0.9965800968	0.9997164677	0.195144762	0.804855238	0.804855238	HG006	clinvar_genes	-1	-2	ont	sentdhio	9	30	0	0.8905151304	0.9095138587	0.9512600943	0.9709076762	0.8723288567	0.8370625226	0.8221155572	0.9962965645	0.895472227
Ods20xIds9x_HG006_sup-PAY77227_0-ont-sentdhio-All	All	Ods20xIds9x_HG006_sup-PAY77227_0	377862616	377419621	1621	441374	106990	0.890442312	0.9963408165	0.9997166028	0.1951076292	0.8048923708	0.8048923708	HG006	clinvar_genes	-1	-2	ont	sentdhio	9	20	0	0.890442312	0.909413689	0.9510960444	0.9707117634	0.8722812117	0.8370608822	0.8221322957	0.9960574192	0.8953852465
I30x_HG006_grapev2_0-sent-sentd-All	All	I30x_HG006_grapev2_0	377862616	377419689	3221	439706	106308	0.8892461734	0.9927279213	0.9997184088	0.1946983044	0.8053016956	0.8053016956	HG006	clinvar_genes	-1	-2	sent	sentd	30	0	0	0.8892461734	0.9078194473	0.9485736426	0.9677271782	0.8714518834	0.8369030176	0.8222431274	0.9924463301	0.8939855942
Ods5xUds30x_HG006_sup-PAY77227_0-ont-sentdhuo-All	All	Ods5xUds30x_HG006_sup-PAY77227_0	377862616	377419650	29283	413683	74547	0.8884982324	0.9338933462	0.9998025215	0.1526882822	0.8473117178	0.8473117178	HG006	clinvar_genes	-1	-2	ont	sentdhuo	0	5	30	0.8884982324	0.8970565244	0.9151898107	0.9234194137	0.8801179923	0.8633194568	0.8559721153	0.9336958677	0.8894149831
Ods10xUds10x_HG006_sup-PAY77227_0-ont-sentdhuo-All	All	Ods10xUds10x_HG006_sup-PAY77227_0	377862616	377419614	22907	420095	83629	0.8874690248	0.9482914298	0.9997784681	0.1660214721	0.8339785279	0.8339785279	HG006	clinvar_genes	-1	-2	ont	sentdhuo	0	10	10	0.8874690248	0.8987834447	0.9229887351	0.9340795193	0.8764572772	0.8545818419	0.845096082	0.948069898	0.8891638766
I20x_HG006_grapev2_0-sent-sentd-All	All	I20x_HG006_grapev2_0	377862616	377419682	3509	439425	108282	0.8871528637	0.9920778265	0.9997131815	0.1977005954	0.8022994046	0.8022994046	HG006	clinvar_genes	-1	-2	sent	sentd	20	0	0	0.8871528637	0.9059588898	0.947264063	0.9666956785	0.8691463463	0.8342154682	0.8194054522	0.991791008	0.8920224853
Ods5xIds30x_HG006_sup-PAY77227_0-ont-sentdhio-All	All	Ods5xIds30x_HG006_sup-PAY77227_0	377862616	377419631	1261	441724	111884	0.8864681971	0.9971534025	0.9997036433	0.2020996806	0.7979003194	0.7979003194	HG006	clinvar_genes	-1	-2	ont	sentdhio	30	5	0	0.8864681971	0.9062111665	0.949720238	0.9702583718	0.8676033813	0.8311153274	0.815687898	0.9968570458	0.8918459646
I15x_HG006_grapev2_0-sent-sentd-All	All	I15x_HG006_grapev2_0	377862616	377419687	4331	438598	108465	0.8860637258	0.9902219092	0.9997126969	0.1982678412	0.8017321588	0.8017321588	HG006	clinvar_genes	-1	-2	sent	sentd	15	0	0	0.8860637258	0.9047421903	0.9457520531	0.9650375513	0.8681753039	0.8334622362	0.8187400705	0.9899346061	0.8908709498
Ods15xUds15x_HG006_sup-PAY77227_0-ont-sentdhuo-All	All	Ods15xUds15x_HG006_sup-PAY77227_0	377862616	377419619	23046	419951	85145	0.8858856673	0.9479770743	0.9997744532	0.168571915	0.831428085	0.831428085	HG006	clinvar_genes	-1	-2	ont	sentdhuo	0	15	15	0.8858856673	0.8974224863	0.9221245242	0.9334524715	0.8746634575	0.8523874301	0.8427351931	0.9477515275	0.8876538568
Ods30xIds30x_HG006_sup-PAY77227_0-ont-sentdhio-All	All	Ods30xIds30x_HG006_sup-PAY77227_0	377862616	377419630	669	442317	114826	0.8845198969	0.9984897943	0.9996958529	0.2060978959	0.7939021041	0.7939021041	HG006	clinvar_genes	-1	-2	ont	sentdhio	30	30	0	0.8845198969	0.9047897052	0.9495501886	0.9707223562	0.8651755314	0.8278259353	0.8120603509	0.9981856472	0.8902021772
Ods10xIds30x_HG006_sup-PAY77227_0-ont-sentdhio-All	All	Ods10xIds30x_HG006_sup-PAY77227_0	377862616	377419626	833	442157	114911	0.8842627128	0.9981195964	0.9996956278	0.2062782282	0.7937217718	0.7937217718	HG006	clinvar_genes	-1	-2	ont	sentdhio	30	10	0	0.8842627128	0.9045137535	0.9492307521	0.9703813718	0.8649357203	0.827618182	0.811865542	0.9978152242	0.8899356524
I12x_HG006_grapev2_0-sent-sentd-All	All	I12x_HG006_grapev2_0	377862616	377419649	6337	436630	108121	0.8841187464	0.9856941939	0.9997136078	0.1984778367	0.8015221633	0.8015221633	HG006	clinvar_genes	-1	-2	sent	sentd	12	0	0	0.8841187464	0.9023697409	0.9423862966	0.9611787074	0.8666250527	0.8326369742	0.8182059195	0.9854078017	0.8887123539
Ods5xIds20x_HG006_sup-PAY77227_0-ont-sentdhio-All	All	Ods5xIds20x_HG006_sup-PAY77227_0	377862616	377419633	1255	441728	114905	0.8837953774	0.9971669342	0.9996956437	0.2064286523	0.7935713477	0.7935713477	HG006	clinvar_genes	-1	-2	ont	sentdhio	20	5	0	0.8837953774	0.9039671637	0.9484983241	0.9695558509	0.8645411696	0.8273562801	0.8116565141	0.9968625779	0.8894258062
Ods20xIds30x_HG006_sup-PAY77227_0-ont-sentdhio-All	All	Ods20xIds30x_HG006_sup-PAY77227_0	377862616	377419629	658	442329	115668	0.8837883523	0.9985146291	0.9996936233	0.2072914371	0.7927085629	0.7927085629	HG006	clinvar_genes	-1	-2	ont	sentdhio	30	20	0	0.8837883523	0.9041783911	0.9492262693	0.9705448858	0.8643350066	0.8267909046	0.8109495062	0.9982082524	0.889542854
Ods15xIds30x_HG006_sup-PAY77227_0-ont-sentdhio-All	All	Ods15xIds30x_HG006_sup-PAY77227_0	377862616	377419630	653	442333	116021	0.8834821339	0.9985259128	0.9996926886	0.2077911146	0.7922088854	0.7922088854	HG006	clinvar_genes	-1	-2	ont	sentdhio	30	15	0	0.8834821339	0.9039225861	0.9490910605	0.9704711735	0.8639831138	0.8263575502	0.8104844222	0.9982186014	0.8892670682
Ods30xIds20x_HG006_sup-PAY77227_0-ont-sentdhio-All	All	Ods30xIds20x_HG006_sup-PAY77227_0	377862616	377419630	684	442302	116696	0.8828524208	0.9984559331	0.9996909013	0.2087592442	0.7912407558	0.7912407558	HG006	clinvar_genes	-1	-2	ont	sentdhio	20	30	0	0.8828524208	0.9033814667	0.9487623459	0.9702509892	0.8632732566	0.8255050993	0.8095765756	0.9981468344	0.8886915363
Ods5xIds15x_HG006_sup-PAY77227_0-ont-sentdhio-All	All	Ods5xIds15x_HG006_sup-PAY77227_0	377862616	377419634	1488	441494	116072	0.8825043876	0.996640947	0.9996925536	0.2081762518	0.7918237482	0.7918237482	HG006	clinvar_genes	-1	-2	ont	sentdhio	15	5	0	0.8825043876	0.902796697	0.9476178088	0.968823903	0.8631414277	0.8257638841	0.8099896476	0.9963335006	0.8882097719
Ods30xIds15x_HG006_sup-PAY77227_0-ont-sentdhio-All	All	Ods30xIds15x_HG006_sup-PAY77227_0	377862616	377419630	820	442166	117259	0.8822050037	0.9981489257	0.9996894105	0.2096062922	0.7903937078	0.7903937078	HG006	clinvar_genes	-1	-2	ont	sentdhio	15	30	0	0.8822050037	0.9027872865	0.9482969019	0.9698518157	0.8625779669	0.8247254621	0.808764523	0.9978383362	0.8880782479
Ods20xIds20x_HG006_sup-PAY77227_0-ont-sentdhio-All	All	Ods20xIds20x_HG006_sup-PAY77227_0	377862616	377419629	684	442303	117723	0.8819486886	0.9984559366	0.9996881818	0.2102098831	0.7897901169	0.7897901169	HG006	clinvar_genes	-1	-2	ont	sentdhio	20	20	0	0.8819486886	0.9026208002	0.9483446213	0.9700084837	0.8622400793	0.8242415185	0.8082234381	0.9981441185	0.8878753015
Ods10xIds20x_HG006_sup-PAY77227_0-ont-sentdhio-All	All	Ods10xIds20x_HG006_sup-PAY77227_0	377862616	377419629	776	442211	117675	0.8818883348	0.9982482556	0.9996883089	0.2101767145	0.7898232855	0.7898232855	HG006	clinvar_genes	-1	-2	ont	sentdhio	20	10	0	0.8818883348	0.9025366765	0.948204289	0.9698397729	0.8622014349	0.8242421057	0.8082395274	0.9979365645	0.8878014892
Ods30xIds5x_HG006_sup-PAY77227_0-ont-sentdhio-All	All	Ods30xIds5x_HG006_sup-PAY77227_0	377862616	377419663	6102	436851	111405	0.8814508343	0.9862242721	0.9997049117	0.2031988706	0.7968011294	0.7968011294	HG006	clinvar_genes	-1	-2	ont	sentdhio	5	30	0	0.8814508343	0.9002215298	0.9414616296	0.9608685883	0.8634814882	0.8286320404	0.8138602616	0.9859291838	0.8863258697
Ods15xIds20x_HG006_sup-PAY77227_0-ont-sentdhio-All	All	Ods15xIds20x_HG006_sup-PAY77227_0	377862616	377419627	658	442331	118504	0.8812919396	0.9985146358	0.9996861138	0.2112992235	0.7887007765	0.7887007765	HG006	clinvar_genes	-1	-2	ont	sentdhio	20	15	0	0.8812919396	0.9020772476	0.948072502	0.9698751018	0.8614809271	0.8233001244	0.8072112131	0.9982007496	0.8872879837
Uds10x_HG006_408622-Z0116_0-ug-sentdug-All	All	Uds10x_HG006_408622-Z0116_0	377862616	377419739	42053	400824	65939	0.8812805066	0.9050458705	0.9998253205	0.1412686952	0.8587313048	0.8587313048	HG006	clinvar_genes	-1	-2	ug	sentdug	0	0	10	0.8812805066	0.8858459984	0.8953875558	0.8996598639	0.8767706409	0.8676110824	0.8635539601	0.904871191	0.8814422312
Ods20xIds15x_HG006_sup-PAY77227_0-ont-sentdhio-All	All	Ods20xIds15x_HG006_sup-PAY77227_0	377862616	377419628	814	442174	118337	0.8812644557	0.9981624784	0.999686556	0.2111234213	0.7888765787	0.7888765787	HG006	clinvar_genes	-1	-2	ont	sentdhio	15	20	0	0.8812644557	0.9019976781	0.9478692695	0.9696092071	0.8615008861	0.8234054566	0.8073501299	0.9978490345	0.8872302859
Ods5xUds20x_HG006_sup-PAY77227_0-ont-sentdhuo-All	All	Ods5xUds20x_HG006_sup-PAY77227_0	377862616	377419650	35695	407271	74206	0.881116521	0.9194181946	0.9998034246	0.1541215884	0.8458784116	0.8458784116	HG006	clinvar_genes	-1	-2	ont	sentdhuo	0	5	20	0.881116521	0.8883802396	0.9037047655	0.9106303021	0.873984508	0.8596299339	0.8533270087	0.9192216192	0.881738507
Ods10xIds15x_HG006_sup-PAY77227_0-ont-sentdhio-All	All	Ods10xIds15x_HG006_sup-PAY77227_0	377862616	377419629	907	442080	118489	0.8810270677	0.9979525359	0.9996861535	0.2113727302	0.7886272698	0.7886272698	HG006	clinvar_genes	-1	-2	ont	sentdhio	15	10	0	0.8810270677	0.9017641505	0.9476458264	0.9693912861	0.8612602228	0.8231595937	0.8071025148	0.9976386894	0.8869964365
Ods15xIds15x_HG006_sup-PAY77227_0-ont-sentdhio-All	All	Ods15xIds15x_HG006_sup-PAY77227_0	377862616	377419626	780	442210	119075	0.880655199	0.9982392379	0.9996846019	0.2121471267	0.7878528733	0.7878528733	HG006	clinvar_genes	-1	-2	ont	sentdhio	15	15	0	0.880655199	0.9014969136	0.9476287317	0.9695017182	0.8607934976	0.8225234643	0.8064002873	0.9979238398	0.886687714
Ods5xIds9x_HG006_sup-PAY77227_0-ont-sentdhio-All	All	Ods5xIds9x_HG006_sup-PAY77227_0	377862616	377419637	3741	439238	115807	0.8802153054	0.9915549044	0.9996932553	0.2086443442	0.7913556558	0.7913556558	HG006	clinvar_genes	-1	-2	ont	sentdhio	9	5	0	0.8802153054	0.9000513762	0.9438018085	0.96447119	0.8612710957	0.8246559819	0.8091853304	0.9912481597	0.8856748909
Ods30x_HG006_sup-PAY77227_0-ont-sentdont-All	All	Ods30x_HG006_sup-PAY77227_0	377862616	377419666	9404	433546	108624	0.8801892155	0.9787696128	0.9997122759	0.2003504436	0.7996495564	0.7996495564	HG006	clinvar_genes	-1	-2	ont	sentdont	0	30	0	0.8801892155	0.8979398047	0.936801255	0.9550238051	0.8631595968	0.8300295218	0.8159453131	0.9784818887	0.8845440794
Ods10xIds9x_HG006_sup-PAY77227_0-ont-sentdhio-All	All	Ods10xIds9x_HG006_sup-PAY77227_0	377862616	377419625	2130	440861	117897	0.8801825607	0.9951917759	0.9996877211	0.2109983213	0.7890016787	0.7890016787	HG006	clinvar_genes	-1	-2	ont	sentdhio	9	10	0	0.8801825607	0.9006102002	0.9457605841	0.9671370437	0.8606984488	0.8231090622	0.8072541232	0.994879497	0.8859774143
Ods20xIds5x_HG006_sup-PAY77227_0-ont-sentdhio-All	All	Ods20xIds5x_HG006_sup-PAY77227_0	377862616	377419661	6092	436863	112916	0.8801209589	0.98624691	0.9997009106	0.2053843453	0.7946156547	0.7946156547	HG006	clinvar_genes	-1	-2	ont	sentdhio	5	20	0	0.8801209589	0.8991100534	0.9408666182	0.9605340591	0.8619522985	0.8267434902	0.811830203	0.9859478205	0.8851178785
Ods15xIds9x_HG006_sup-PAY77227_0-ont-sentdhio-All	All	Ods15xIds9x_HG006_sup-PAY77227_0	377862616	377419626	1914	441076	118316	0.8800557073	0.9956793607	0.9996866116	0.2115082089	0.7884917911	0.7884917911	HG006	clinvar_genes	-1	-2	ont	sentdhio	9	15	0	0.8800557073	0.9005817771	0.9459661175	0.9674612248	0.8604820169	0.822731685	0.8068135478	0.9953659723	0.8859079244
Ods10xUds5x_HG006_sup-PAY77227_0-ont-sentdhuo-All	All	Ods10xUds5x_HG006_sup-PAY77227_0	377862616	377419611	31268	411737	81538	0.8795168112	0.9294184039	0.999784006	0.1652992753	0.8347007247	0.8347007247	HG006	clinvar_genes	-1	-2	ont	sentdhuo	0	10	5	0.8795168112	0.8888838783	0.908793336	0.9178571855	0.8703628886	0.8520676875	0.8440883867	0.9292024098	0.8806412152
Ods20x_HG006_sup-PAY77227_0-ont-sentdont-All	All	Ods20x_HG006_sup-PAY77227_0	377862616	377419667	11366	431583	106898	0.8794982831	0.9743401611	0.9997168464	0.1985176821	0.8014823179	0.8014823179	HG006	clinvar_genes	-1	-2	ont	sentdont	0	20	0	0.8794982831	0.8966282861	0.9340503325	0.9515598583	0.8630422433	0.830966705	0.8173061992	0.9740570075	0.8835497356
Ods15xIds5x_HG006_sup-PAY77227_0-ont-sentdhio-All	All	Ods15xIds5x_HG006_sup-PAY77227_0	377862616	377419663	6212	436741	113846	0.8791613825	0.9859759388	0.999698448	0.2067720451	0.7932279549	0.7932279549	HG006	clinvar_genes	-1	-2	ont	sentdhio	5	15	0	0.8791613825	0.8982608859	0.9402798572	0.9600802421	0.8608923023	0.8255034115	0.8105196193	0.9856743867	0.8842218358
I9x_HG006_grapev2_0-sent-sentd-All	All	I9x_HG006_grapev2_0	377862616	377419638	13335	429643	105987	0.8780696663	0.9698969249	0.9997192588	0.1978735321	0.8021264679	0.8021264679	HG006	clinvar_genes	-1	-2	sent	sentd	9	0	0	0.8780696663	0.8946952394	0.9309538028	0.947890027	0.8620815203	0.8308708806	0.8175597808	0.9696161837	0.8818846565
Ods15x_HG006_sup-PAY77227_0-ont-sentdont-All	All	Ods15x_HG006_sup-PAY77227_0	377862616	377419680	14480	428456	105929	0.8767968764	0.9673090469	0.9997194124	0.1982259981	0.8017740019	0.8017740019	HG006	clinvar_genes	-1	-2	ont	sentdont	0	15	0	0.8767968764	0.8932007445	0.9289506355	0.9456374517	0.8610150876	0.8301879188	0.8170325711	0.9670284593	0.8805118843
Ods5xUds15x_HG006_sup-PAY77227_0-ont-sentdhuo-All	All	Ods5xUds15x_HG006_sup-PAY77227_0	377862616	377419644	40395	402577	73591	0.875986248	0.9088091347	0.9998050535	0.1545483947	0.8454516053	0.8454516053	HG006	clinvar_genes	-1	-2	ont	sentdhuo	0	5	15	0.875986248	0.8822400818	0.8953891718	0.9013116994	0.8698324473	0.857406404	0.8519331844	0.9086141881	0.8764086295
Ods5xIds5x_HG006_sup-PAY77227_0-ont-sentdhio-All	All	Ods5xIds5x_HG006_sup-PAY77227_0	377862616	377419629	14706	428281	111416	0.8716555882	0.9668026375	0.9997048825	0.2064417627	0.7935582373	0.7935582373	HG006	clinvar_genes	-1	-2	ont	sentdhio	5	5	0	0.8716555882	0.888823944	0.9263554741	0.9439283454	0.8551696558	0.8230554141	0.8093862705	0.9665075201	0.8757524456
Ods5xUds10x_HG006_sup-PAY77227_0-ont-sentdhuo-All	All	Ods5xUds10x_HG006_sup-PAY77227_0	377862616	377419635	47199	395782	72133	0.8689949237	0.8934514121	0.999808915	0.1541583407	0.8458416593	0.8458416593	HG006	clinvar_genes	-1	-2	ont	sentdhuo	0	5	10	0.8689949237	0.8736888407	0.8835054662	0.8879038646	0.8643602233	0.8549533167	0.8507892838	0.8932603272	0.86916345
Ods10x_HG006_sup-PAY77227_0-ont-sentdont-All	All	Ods10x_HG006_sup-PAY77227_0	377862616	377419692	24676	418248	104667	0.8660822352	0.9442884107	0.9997227543	0.200160638	0.799839362	0.799839362	HG006	clinvar_genes	-1	-2	ont	sentdont	0	10	0	0.8660822352	0.8803931872	0.9113701625	0.9257306827	0.8522558043	0.8250821437	0.8134185512	0.944011165	0.8689048117
