Sample	SAMPLE_NAME	MEDIAN_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_99_PERCENT
Ods20xIds15x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort_FR	Ods20xIds15x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	474.0	74.0	2.0	247257771.0	477.270429	122.17829	171743099.0	FR	27.0	55.0	85.0	115.0	149.0	189.0	237.0	303.0	409.0	723.0
Ods20xIds20x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort_FR	Ods20xIds20x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	474.0	74.0	2.0	247257771.0	477.226779	122.168132	227654370.0	FR	27.0	55.0	85.0	115.0	149.0	189.0	237.0	303.0	409.0	723.0
Ods20xIds30x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort_FR	Ods20xIds30x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	473.0	74.0	2.0	247257771.0	477.084679	122.173001	337604291.0	FR	27.0	55.0	85.0	115.0	149.0	189.0	237.0	303.0	409.0	723.0
Ods20xIds5x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort_FR	Ods20xIds5x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	474.0	74.0	2.0	242563050.0	477.244042	122.351282	57960971.0	FR	27.0	55.0	85.0	115.0	149.0	189.0	237.0	303.0	409.0	727.0
Ods20xIds9x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort_FR	Ods20xIds9x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	472.0	74.0	2.0	247257771.0	476.034443	122.524582	949221270.0	FR	27.0	55.0	85.0	115.0	149.0	189.0	239.0	303.0	411.0	723.0
Ods30xIds15x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort_FR	Ods30xIds15x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	474.0	74.0	2.0	247257771.0	477.270429	122.17829	171743099.0	FR	27.0	55.0	85.0	115.0	149.0	189.0	237.0	303.0	409.0	723.0
Ods30xIds20x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort_FR	Ods30xIds20x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	474.0	74.0	2.0	247257771.0	477.226779	122.168132	227654370.0	FR	27.0	55.0	85.0	115.0	149.0	189.0	237.0	303.0	409.0	723.0
Ods30xIds30x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort_FR	Ods30xIds30x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	473.0	74.0	2.0	247257771.0	477.084679	122.173001	337604291.0	FR	27.0	55.0	85.0	115.0	149.0	189.0	237.0	303.0	409.0	723.0
Ods30xIds5x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort_FR	Ods30xIds5x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	474.0	74.0	2.0	242563050.0	477.244042	122.351282	57960971.0	FR	27.0	55.0	85.0	115.0	149.0	189.0	237.0	303.0	409.0	727.0
Ods30xIds9x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort_FR	Ods30xIds9x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	472.0	74.0	2.0	247257771.0	476.034443	122.524582	949221270.0	FR	27.0	55.0	85.0	115.0	149.0	189.0	239.0	303.0	411.0	723.0
Ods5xIds15x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort_FR	Ods5xIds15x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	474.0	74.0	2.0	247257771.0	477.270415	122.178626	171776551.0	FR	27.0	55.0	85.0	115.0	149.0	189.0	237.0	303.0	409.0	723.0
Ods5xIds20x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort_FR	Ods5xIds20x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	474.0	74.0	2.0	247257771.0	477.226779	122.168132	227654370.0	FR	27.0	55.0	85.0	115.0	149.0	189.0	237.0	303.0	409.0	723.0
Ods5xIds30x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort_FR	Ods5xIds30x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	473.0	74.0	2.0	247257771.0	477.084679	122.173001	337604291.0	FR	27.0	55.0	85.0	115.0	149.0	189.0	237.0	303.0	409.0	723.0
Ods5xIds5x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort_FR	Ods5xIds5x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	474.0	74.0	2.0	238217448.0	477.243271	122.352279	57925687.0	FR	27.0	55.0	85.0	115.0	149.0	189.0	237.0	303.0	409.0	727.0
Ods5xIds9x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort_FR	Ods5xIds9x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	474.0	74.0	2.0	242327556.0	477.288302	122.241447	103811230.0	FR	27.0	55.0	85.0	115.0	149.0	189.0	237.0	303.0	409.0	725.0
